Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,Gabriel Magalhaes,2,1,35,35,3068,5,29,12,0,4,0,1824,10,23,38,6,1,43,50,13,0
2,A. Ramsdale,1,1,34,34,3060,0,0,0,0,1,0,633,0,0,5,1,0,1,2,12,90
3,B. Saka,3,1,38,36,2991,11,97,31,2,43,7,845,68,39,59,6,0,43,40,13,0
4,B. White,2,1,32,32,2880,0,12,4,0,10,0,1530,13,19,28,3,0,65,44,13,0
5,M. Odegaard,3,1,36,32,2791,7,53,21,0,25,4,1338,76,27,20,4,0,32,49,11,0
6,G. Xhaka,3,1,27,27,2331,1,27,5,0,19,2,1338,32,29,19,10,1,39,32,6,0
7,T. Partey,3,1,24,23,2032,2,44,10,0,35,1,1031,17,33,17,5,0,52,43,10,0
8,E. Smith Rowe,3,1,33,21,1920,10,40,23,0,32,2,669,30,5,21,1,0,22,14,7,0
9,K. Tierney,2,1,22,22,1918,1,15,5,0,9,3,746,20,5,16,0,0,29,18,10,0
10,Gabriel Martinelli,4,1,29,21,1866,6,52,16,1,45,6,418,34,24,20,1,1,39,27,6,0
11,A. Lacazette,4,1,30,20,1789,4,46,15,2,19,7,339,29,32,28,0,0,15,27,8,0
12,T. Tomiyasu,2,1,21,20,1682,0,11,2,0,9,1,747,13,16,13,2,0,41,35,8,0
13,Cedric Soares,2,1,21,16,1485,1,12,1,0,8,1,733,18,15,6,3,0,42,38,3,0
14,Nuno Tavares,2,1,22,13,1170,1,23,2,0,19,1,481,10,23,13,2,0,23,21,3,0
15,A. Lokonga,3,1,19,12,1133,0,20,8,0,3,0,723,18,12,15,5,0,31,22,6,0
