Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,M. Guehi,2,7,36,36,3223,2,19,5,0,12,1,2052,6,14,34,4,0,47,35,11,0
2,T. Mitchell,2,7,36,35,3102,0,4,0,0,16,2,1074,21,16,14,1,0,98,104,10,0
3,J. Andersen,2,7,34,32,2915,0,8,3,0,7,3,1904,19,19,8,4,0,60,30,12,0
4,C. Gallagher,3,7,34,33,2851,8,52,22,0,43,3,852,38,65,65,10,0,66,68,11,0
5,W. Zaha,4,7,33,31,2761,14,69,32,5,75,1,726,46,37,101,4,1,25,40,11,0
6,Guaita,1,7,30,30,2655,0,0,0,0,0,0,597,0,1,2,2,0,1,1,11,84
7,J. Ward,2,7,28,27,2486,0,10,1,0,20,0,1144,7,22,21,8,0,58,44,9,0
8,J. Ayew,4,7,31,23,2023,3,35,8,0,34,3,559,23,38,66,2,0,45,47,6,0
9,C. Kouyate,2,7,27,23,1978,0,7,0,0,13,1,655,5,29,21,3,0,76,52,8,0
10,J. Schlupp,3,7,32,20,1846,4,33,9,0,35,1,489,18,26,22,1,0,43,46,7,0
11,O. Edouard,4,7,28,18,1567,6,40,18,1,30,3,306,21,25,6,4,0,10,16,6,0
12,J. McArthur,3,7,21,15,1436,0,9,3,0,21,3,755,16,24,20,4,0,53,33,5,0
13,J. Mateta,4,7,22,13,1148,5,37,18,0,10,1,156,7,16,7,2,0,8,8,5,0
14,M. Olise,3,7,26,12,1137,2,19,10,0,28,5,445,24,16,27,4,0,24,22,3,0
15,C. Benteke,4,7,25,11,1136,4,39,13,0,9,1,192,13,16,16,3,0,4,3,3,0
