Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,I. Meslier,1,9,38,38,3385,0,0,0,0,2,0,769,0,0,5,2,0,1,1,5,143
2,S. Dallas,2,9,34,34,2922,1,30,9,0,29,1,1066,31,33,30,5,0,112,93,5,0
3,Raphinha,3,9,35,34,2922,11,88,25,4,62,3,744,65,40,47,7,0,58,51,5,0
4,J. Harrison,3,9,35,32,2648,8,43,17,0,54,1,613,42,29,23,3,0,58,57,3,0
5,D. James,3,9,34,31,2500,4,54,18,0,21,4,336,27,31,38,7,1,23,26,4,0
6,Diego Llorente,2,9,28,28,2343,3,10,3,0,8,0,1105,2,23,21,7,0,71,53,5,0
7,L. Ayling,2,9,26,26,2275,2,19,4,0,23,2,1098,12,22,19,4,1,70,74,2,0
8,Rodrigo,4,9,31,27,2270,6,47,18,1,22,1,658,38,21,30,9,0,20,20,4,0
9,M. Klich,3,9,33,26,2079,1,42,18,0,20,2,781,31,40,15,5,0,36,47,1,0
10,P. Struijk,2,9,29,22,2051,1,11,4,0,2,0,1068,11,25,8,6,1,72,61,0,0
11,L. Cooper,2,9,21,21,1815,0,6,1,0,3,1,976,4,19,9,5,0,66,41,5,0
12,Junior Firpo,2,9,24,19,1715,0,11,1,0,16,2,633,22,39,15,11,0,52,60,1,0
13,K. Phillips,3,9,20,18,1595,0,15,3,0,7,1,776,9,33,19,4,0,49,54,3,0
14,R. Koch,2,9,20,17,1574,0,13,1,0,5,0,540,5,22,10,3,0,33,21,1,0
15,A. Forshaw,3,9,22,17,1529,0,14,4,0,12,1,690,13,26,15,5,0,42,53,2,0
