Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,K. Schmeichel,1,10,37,37,3330,0,0,0,0,1,0,783,1,0,2,2,0,1,0,7,131
2,Y. Tielemans,3,10,32,29,2633,6,59,17,2,25,4,1425,37,32,36,3,0,60,74,6,0
3,C. Soyuncu,2,10,28,28,2498,1,8,1,0,4,0,1625,3,24,14,5,0,62,47,5,0
4,J. Maddison,3,10,35,28,2466,12,72,34,0,31,8,770,48,22,64,3,0,31,40,5,0
5,T. Castagne,2,10,27,22,2126,1,7,3,0,6,0,903,15,15,7,1,0,60,67,4,0
6,D. Amartey,3,10,28,23,2119,0,2,1,0,6,0,1393,4,14,8,4,0,34,26,5,0
7,H. Barnes,3,10,32,24,2105,6,66,24,0,31,10,538,29,19,20,2,0,21,31,5,0
8,K. Dewsbury-Hall,3,10,28,23,2105,1,21,3,0,30,2,932,35,20,29,4,0,45,39,6,0
9,L. Thomas,2,10,22,21,1912,0,4,0,0,15,1,820,12,15,16,2,0,71,50,5,0
10,J. Vardy,4,10,25,20,1805,15,54,26,0,9,2,182,18,13,12,2,0,6,6,4,0
11,W. Ndidi,3,10,19,18,1619,0,14,4,0,11,0,747,2,30,22,4,0,74,60,5,0
12,A. Lookman,3,10,26,16,1457,6,26,12,0,38,0,397,23,27,33,2,0,24,32,1,0
13,J. Evans,2,10,18,16,1350,1,3,2,0,2,1,836,4,15,11,3,0,34,24,1,0
14,K. Iheanacho,4,10,26,13,1259,4,31,12,0,16,5,270,17,17,11,1,0,11,10,0,0
15,P. Daka,4,10,23,13,1161,5,26,16,0,3,3,164,13,17,14,2,0,12,15,3,0
