Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,M. Cash,2,2,38,38,3380,4,37,13,0,33,3,883,28,38,38,8,0,98,88,11,0
2,E. Martinez,1,2,36,36,3240,0,0,0,0,0,0,659,0,0,3,4,0,1,1,11,95
3,T. Mings,2,2,36,35,3188,1,21,5,0,11,3,1316,10,27,24,11,0,58,23,11,0
4,J. McGinn,3,2,35,35,3092,3,43,16,0,44,4,986,51,57,80,8,0,99,106,10,0
5,O. Watkins,4,2,35,33,2955,11,77,32,1,37,2,479,35,32,39,7,0,25,17,10,0
6,Douglas Luiz,3,2,34,31,2721,2,23,8,0,24,3,1257,37,38,41,7,0,73,60,9,0
7,E. Konsa,2,2,29,29,2481,2,15,6,0,6,0,864,4,18,36,4,2,30,25,8,0
8,J. Ramsey,3,2,34,29,2476,6,34,11,0,30,1,882,21,32,44,6,0,68,67,11,0
9,L. Digne,2,2,29,29,2442,0,18,3,0,11,4,874,52,33,25,6,0,66,46,7,0
10,D. Ings,4,2,30,22,1904,7,49,18,1,10,6,250,15,16,12,4,0,22,23,7,0
11,E. Buendia,3,2,35,22,1901,4,44,13,0,40,6,695,48,17,44,1,0,27,38,4,0
12,Philippe Coutinho,3,2,19,16,1339,5,43,16,0,21,3,524,25,8,20,0,0,19,17,6,0
13,A. Young,2,2,24,10,1239,0,10,3,0,9,2,414,13,16,33,2,0,19,18,4,0
14,C. Chambers,2,2,13,11,1000,1,5,1,0,0,0,463,3,14,3,1,0,16,21,3,0
15,M. Nakamba,3,2,16,10,905,0,0,0,0,14,0,328,2,16,9,5,0,31,31,1,0
