Id,Player,Position,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,Gabriel Magalhaes,2,1,35,35,3068,5,29,12,0,4,0,1824,10,23,38,6,1,43,50,13,0
2,A. Ramsdale,1,1,34,34,3060,0,0,0,0,1,0,633,0,0,5,1,0,1,2,12,90
3,B. Saka,3,1,38,36,2991,11,97,31,2,43,7,845,68,39,59,6,0,43,40,13,0
4,B. White,2,1,32,32,2880,0,12,4,0,10,0,1530,13,19,28,3,0,65,44,13,0
5,M. Odegaard,3,1,36,32,2791,7,53,21,0,25,4,1338,76,27,20,4,0,32,49,11,0
6,G. Xhaka,3,1,27,27,2331,1,27,5,0,19,2,1338,32,29,19,10,1,39,32,6,0
7,T. Partey,3,1,24,23,2032,2,44,10,0,35,1,1031,17,33,17,5,0,52,43,10,0
8,E. Smith Rowe,3,1,33,21,1920,10,40,23,0,32,2,669,30,5,21,1,0,22,14,7,0
9,K. Tierney,2,1,22,22,1918,1,15,5,0,9,3,746,20,5,16,0,0,29,18,10,0
10,Gabriel Martinelli,4,1,29,21,1866,6,52,16,1,45,6,418,34,24,20,1,1,39,27,6,0
11,A. Lacazette,4,1,30,20,1789,4,46,15,2,19,7,339,29,32,28,0,0,15,27,8,0
12,T. Tomiyasu,2,1,21,20,1682,0,11,2,0,9,1,747,13,16,13,2,0,41,35,8,0
13,Cedric Soares,2,1,21,16,1485,1,12,1,0,8,1,733,18,15,6,3,0,42,38,3,0
14,Nuno Tavares,2,1,22,13,1170,1,23,2,0,19,1,481,10,23,13,2,0,23,21,3,0
15,A. Lokonga,3,1,19,12,1133,0,20,8,0,3,0,723,18,12,15,5,0,31,22,6,0
16,M. Cash,2,2,38,38,3380,4,37,13,0,33,3,883,28,38,38,8,0,98,88,11,0
17,E. Martinez,1,2,36,36,3240,0,0,0,0,0,0,659,0,0,3,4,0,1,1,11,95
18,T. Mings,2,2,36,35,3188,1,21,5,0,11,3,1316,10,27,24,11,0,58,23,11,0
19,J. McGinn,3,2,35,35,3092,3,43,16,0,44,4,986,51,57,80,8,0,99,106,10,0
20,O. Watkins,4,2,35,33,2955,11,77,32,1,37,2,479,35,32,39,7,0,25,17,10,0
21,Douglas Luiz,3,2,34,31,2721,2,23,8,0,24,3,1257,37,38,41,7,0,73,60,9,0
22,E. Konsa,2,2,29,29,2481,2,15,6,0,6,0,864,4,18,36,4,2,30,25,8,0
23,J. Ramsey,3,2,34,29,2476,6,34,11,0,30,1,882,21,32,44,6,0,68,67,11,0
24,L. Digne,2,2,29,29,2442,0,18,3,0,11,4,874,52,33,25,6,0,66,46,7,0
25,D. Ings,4,2,30,22,1904,7,49,18,1,10,6,250,15,16,12,4,0,22,23,7,0
26,E. Buendia,3,2,35,22,1901,4,44,13,0,40,6,695,48,17,44,1,0,27,38,4,0
27,Philippe Coutinho,3,2,19,16,1339,5,43,16,0,21,3,524,25,8,20,0,0,19,17,6,0
28,A. Young,2,2,24,10,1239,0,10,3,0,9,2,414,13,16,33,2,0,19,18,4,0
29,C. Chambers,2,2,13,11,1000,1,5,1,0,0,0,463,3,14,3,1,0,16,21,3,0
30,M. Nakamba,3,2,16,10,905,0,0,0,0,14,0,328,2,16,9,5,0,31,31,1,0
31,P. Jansson,2,3,37,37,3322,3,22,11,0,2,1,1205,5,15,8,7,0,73,40,8,0
32,C. Norgaard,3,3,35,35,3059,3,27,9,0,18,4,1331,29,56,33,8,0,124,109,8,0
33,B. Mbeumo,3,3,35,34,2915,4,77,22,1,39,7,504,34,20,38,4,0,27,28,9,0
34,I. Toney,4,3,33,32,2908,12,88,30,5,24,5,431,43,50,80,8,0,35,33,8,0
35,R. Henry,2,3,34,33,2784,3,14,5,0,27,0,761,18,20,27,2,0,46,28,9,0
36,E. Pinnock,2,3,32,32,2697,1,16,9,0,9,1,1067,11,9,14,1,0,79,51,7,0
37,V. Janelt,3,3,31,27,2307,4,30,11,0,13,0,740,23,26,25,3,0,60,61,8,0
38,David Raya,1,3,24,24,2160,0,0,0,0,0,0,619,1,1,2,1,0,0,0,8,78
39,Sergi Canos,3,3,31,25,2094,3,33,13,0,23,2,420,17,28,15,6,1,47,56,6,0
40,K. Ajer,2,3,24,23,1987,1,7,1,0,13,3,504,8,12,16,5,0,44,29,7,0
41,M. Jensen,3,3,31,19,1600,0,19,5,0,15,1,538,35,19,6,0,0,40,33,3,0
42,Y. Wissa,3,3,30,12,1273,7,32,13,0,19,1,186,9,8,22,0,0,14,12,3,0
43,M. Rasmussen,2,3,21,12,1233,1,5,2,0,4,1,199,7,18,8,1,0,28,23,1,0
44,Alvaro Fernandez,1,3,12,12,1080,0,0,0,0,0,0,276,0,0,3,0,0,0,0,1,49
45,F. Onyeka,3,3,20,12,1050,0,16,5,0,11,0,251,4,33,25,4,0,31,25,3,0
46,Robert Sanchez,1,4,37,37,3329,0,0,0,0,0,0,898,3,1,2,3,1,1,2,11,101
47,Cucurella,3,4,35,35,3092,1,18,3,0,28,1,1557,42,28,30,6,0,92,93,10,0
48,J. Veltman,2,4,34,33,2881,1,12,3,0,16,1,1263,17,39,38,6,0,93,74,8,0
49,L. Trossard,3,4,34,32,2810,8,74,27,1,56,3,874,47,24,26,2,0,35,34,9,0
50,L. Dunk,2,4,29,29,2574,1,19,7,0,4,0,1719,3,9,4,3,1,35,10,10,0
51,N. Maupay,4,4,32,25,2275,8,61,15,1,21,2,469,23,33,31,7,0,12,17,7,0
52,Y. Bissouma,3,4,26,25,2116,1,21,5,0,34,2,1059,8,30,19,10,0,99,76,6,0
53,A. Mac Allister,3,4,33,22,2116,5,60,11,2,21,2,840,31,30,39,4,0,53,65,6,0
54,P. Gross,3,4,29,24,2043,2,24,9,0,9,4,920,60,15,6,1,0,33,28,8,0
55,S. March,3,4,31,17,1739,0,20,10,0,23,2,494,35,31,20,1,0,34,30,4,0
56,J. Moder,3,4,28,19,1702,0,28,6,0,12,3,567,16,19,11,1,0,35,42,5,0
