Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,E. Mendy,1,6,34,34,3060,0,0,0,0,0,0,658,0,1,3,3,0,0,1,14,73
2,A. Rudiger,2,6,34,34,3035,3,48,13,0,6,0,2199,12,35,12,9,0,56,48,14,0
3,Thiago Silva,2,6,32,28,2651,3,18,5,0,6,0,2432,7,12,12,2,0,65,32,11,0
4,M. Mount,3,6,32,27,2364,11,76,29,1,18,10,952,58,30,23,4,0,29,41,11,0
5,Jorginho,3,6,29,26,2278,6,16,9,6,16,2,1681,27,30,38,5,0,69,64,12,0
6,Marcos Alonso,2,6,28,25,2172,4,43,11,0,15,4,920,43,25,28,8,0,72,41,8,0
7,Azpilicueta,2,6,27,24,2074,1,11,4,0,15,2,1375,17,25,5,3,0,51,51,7,0
8,R. James,2,6,26,22,1865,5,37,10,0,36,9,1235,48,20,31,4,1,42,33,7,0
9,K. Havertz,3,6,29,22,1810,8,56,23,0,18,3,532,21,40,25,3,0,12,17,10,0
10,N. Kante,3,6,26,21,1778,2,17,9,0,35,4,1120,24,22,11,2,0,62,59,9,0
11,R. Lukaku,4,6,26,16,1585,8,43,15,1,13,0,231,24,8,12,1,0,1,2,7,0
12,M. Kovacic,3,6,25,16,1556,2,22,6,0,38,5,1059,27,24,20,4,0,38,51,8,0
13,A. Christensen,2,6,19,17,1494,0,5,0,0,4,0,1189,6,11,7,2,0,37,14,9,0
14,T. Chalobah,3,6,20,17,1449,3,9,7,0,10,1,1151,4,19,14,2,0,46,40,9,0
15,R. Loftus-Cheek,3,6,24,13,1387,0,19,6,0,42,2,860,18,18,41,1,0,21,29,4,0
