Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,J. Ward-Prowse,3,16,36,36,3217,10,55,24,4,12,5,1578,71,22,15,3,1,64,41,7,0
2,M. Salisu,2,16,34,33,2972,0,24,10,0,13,0,1356,9,38,7,8,1,125,80,6,0
3,Oriol Romeu,3,16,36,34,2895,2,24,4,0,30,2,1372,37,46,24,9,0,90,77,7,0
4,K. Walker-Peters,2,16,32,29,2632,1,26,7,0,64,2,885,24,27,47,5,0,70,57,6,0
5,J. Bednarek,2,16,31,30,2631,4,19,7,0,1,0,1181,6,30,15,10,0,87,32,7,0
6,V. Livramento,3,16,28,25,2203,1,12,3,0,30,1,712,20,12,36,2,0,75,54,7,0
7,M. Elyounoussi,3,16,30,23,2043,4,43,19,0,28,2,426,28,28,18,4,0,29,36,8,0
8,C. Adams,4,16,30,23,2041,7,49,24,0,20,3,303,26,29,40,0,0,13,13,5,0
9,A. Broja,4,16,32,21,1978,6,45,21,0,33,0,243,10,29,26,2,0,8,12,4,0
10,N. Redmond,3,16,27,20,1832,1,26,9,0,21,5,490,34,16,15,0,0,22,22,4,0
11,F. Forster,1,16,19,19,1710,0,0,0,0,0,0,290,0,0,3,1,0,0,1,3,68
12,R. Perraud,2,16,20,18,1625,0,19,3,0,8,1,377,8,31,16,3,0,39,34,3,0
13,A. McCarthy,1,16,17,17,1530,0,0,0,0,0,0,242,1,0,0,1,0,0,0,5,44
14,S. Armstrong,3,16,25,15,1468,2,38,9,0,27,0,573,25,11,20,1,0,27,27,3,0
15,A. Armstrong,4,16,23,17,1414,2,47,14,0,16,2,227,13,13,6,1,0,7,10,4,0
