Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,P. Jansson,2,3,37,37,3322,3,22,11,0,2,1,1205,5,15,8,7,0,73,40,8,0
2,C. Norgaard,3,3,35,35,3059,3,27,9,0,18,4,1331,29,56,33,8,0,124,109,8,0
3,B. Mbeumo,3,3,35,34,2915,4,77,22,1,39,7,504,34,20,38,4,0,27,28,9,0
4,I. Toney,4,3,33,32,2908,12,88,30,5,24,5,431,43,50,80,8,0,35,33,8,0
5,R. Henry,2,3,34,33,2784,3,14,5,0,27,0,761,18,20,27,2,0,46,28,9,0
6,E. Pinnock,2,3,32,32,2697,1,16,9,0,9,1,1067,11,9,14,1,0,79,51,7,0
7,V. Janelt,3,3,31,27,2307,4,30,11,0,13,0,740,23,26,25,3,0,60,61,8,0
8,Sergi Canos,3,3,31,25,2094,3,33,13,0,23,2,420,17,28,15,6,1,47,56,6,0
9,K. Ajer,2,3,24,23,1987,1,7,1,0,13,3,504,8,12,16,5,0,44,29,7,0
10,M. Jensen,3,3,31,19,1600,0,19,5,0,15,1,538,35,19,6,0,0,40,33,3,0
11,Y. Wissa,3,3,30,12,1273,7,32,13,0,19,1,186,9,8,22,0,0,14,12,3,0
12,M. Rasmussen,2,3,21,12,1233,1,5,2,0,4,1,199,7,18,8,1,0,28,23,1,0
13,F. Onyeka,3,3,20,12,1050,0,16,5,0,11,0,251,4,33,25,4,0,31,25,3,0
