Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,D. McNeil,3,5,38,35,3112,0,52,15,0,90,1,730,47,16,36,1,0,84,78,9,0
2,J. Tarkowski,2,5,35,35,3107,1,22,6,0,5,2,812,10,30,19,11,0,93,64,7,0
3,J. Brownhill,3,5,35,32,2953,2,29,9,0,15,3,870,40,39,20,10,0,105,73,7,0
4,C. Taylor,2,5,31,30,2730,0,7,0,0,27,3,697,21,17,43,3,0,84,45,5,0
5,A. Westwood,3,5,27,26,2289,0,14,2,0,10,3,837,33,29,22,7,0,42,21,4,0
6,B. Mee,2,5,21,21,1840,3,19,4,0,4,0,529,5,9,7,3,0,36,26,6,0
7,M. Cornet,2,5,26,21,1776,9,47,22,0,13,1,266,15,20,20,2,0,19,16,3,0
8,M. Lowton,2,5,25,20,1771,1,10,2,0,10,2,437,18,13,6,3,1,50,38,3,0
9,C. Roberts,2,5,21,19,1691,1,6,4,0,6,1,471,13,7,29,2,0,35,20,6,0
10,J. Cork,3,5,20,20,1676,1,7,2,0,7,0,419,6,31,10,4,0,23,20,6,0
11,N. Collins,2,5,19,18,1669,2,15,5,0,5,0,436,6,20,12,2,1,39,37,5,0
12,A. Lennon,3,5,28,17,1548,2,12,4,0,13,0,247,9,19,20,2,0,26,33,5,0
13,W. Weghorst,4,5,20,17,1457,2,30,9,0,13,3,274,14,29,18,3,0,15,17,5,0
