Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,M. Keane,2,8,32,31,2792,3,20,6,0,7,2,927,8,16,7,2,1,87,46,7,0
2,S. Coleman,2,8,30,30,2658,1,8,1,0,34,0,706,13,14,17,4,0,68,61,7,0
3,A. Doucoure,3,8,30,29,2538,2,34,11,0,21,4,861,19,39,16,6,0,71,75,5,0
4,Richarlison,4,8,30,28,2526,10,72,23,3,40,5,331,29,36,68,9,0,35,40,7,0
5,D. Gray,3,8,34,28,2347,5,65,17,0,55,4,515,42,12,32,3,0,34,30,6,0
6,A. Gordon,3,8,35,25,2284,4,44,18,0,38,2,455,35,25,64,4,0,54,54,6,0
7,Allan,3,8,28,25,2186,0,7,3,0,21,2,766,15,30,22,7,1,67,74,6,0
8,M. Holgate,2,8,25,23,2133,2,7,3,0,2,1,577,3,26,15,7,1,44,35,5,0
9,A. Iwobi,3,8,28,22,2037,2,24,6,0,32,2,554,36,16,6,1,0,39,40,6,0
10,B. Godfrey,2,8,23,23,2031,0,18,7,0,9,0,540,12,17,12,6,0,47,47,4,0
11,A. Townsend,3,8,21,17,1458,3,21,10,1,26,2,307,31,10,39,3,0,31,31,3,0
12,D. Calvert-Lewin,4,8,17,15,1285,5,33,13,2,2,2,166,10,17,16,2,0,11,11,3,0
13,V. Mykolenko,2,8,13,12,1056,1,8,2,0,3,0,235,8,13,9,0,0,31,25,3,0
