Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,V. van Dijk,2,11,34,34,3060,3,35,14,0,6,1,2369,9,9,8,3,0,41,16,21,0
2,T. Alexander-Arnold,2,11,32,32,2853,2,51,15,0,19,12,1683,90,12,7,2,0,66,40,18,0
3,S. Mane,4,11,34,32,2824,16,98,39,0,47,2,801,41,50,50,5,0,28,33,17,0
4,J. Matip,2,11,31,31,2790,3,35,9,0,9,3,2052,12,13,11,2,0,78,47,17,0
5,Mohamed Salah,4,11,35,30,2761,23,139,60,5,53,13,862,63,12,23,1,0,14,17,17,0
6,J. Henderson,3,11,35,29,2603,2,31,6,0,16,5,1844,38,23,7,3,0,43,36,14,0
7,A. Robertson,2,11,29,29,2541,3,18,8,0,13,10,1642,55,19,9,5,1,44,36,17,0
8,Diogo Jota,4,11,35,27,2372,15,90,33,0,27,4,557,40,41,40,3,0,24,39,13,0
9,Fabinho,3,11,29,26,2316,5,21,10,2,11,1,1349,16,40,28,7,0,65,46,15,0
10,Thiago Alcantara,3,11,25,17,1533,1,25,6,0,20,4,1335,29,19,13,2,0,55,48,11,0
11,N. Keita,3,11,23,14,1173,3,26,7,0,15,1,639,15,21,9,3,0,37,46,9,0
12,I. Konate,2,11,11,11,990,0,4,0,0,2,0,664,0,10,3,2,0,26,17,4,0
13,Roberto Firmino,4,11,20,10,985,5,30,11,0,17,4,383,16,7,6,3,0,18,23,6,0
