Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,Joao Cancelo,2,12,36,36,3228,1,81,23,0,56,7,2510,39,34,26,7,0,113,83,19,0
2,Rodri,3,12,33,33,2887,7,45,14,0,12,2,2629,29,43,20,5,0,70,72,17,0
3,Bernardo Silva,3,12,35,33,2859,8,47,20,0,53,4,1692,59,30,33,6,0,49,57,16,0
4,Aymeric Laporte,2,12,33,33,2834,4,35,8,0,6,0,2767,9,14,10,5,1,35,33,18,0
5,Ruben Dias,2,12,29,27,2403,2,18,3,0,2,4,2115,15,27,9,5,0,42,26,14,0
6,K. De Bruyne,3,12,30,25,2205,15,77,31,0,31,8,1121,87,21,27,2,0,22,32,13,0
7,P. Foden,3,12,28,24,2133,9,57,22,0,37,5,839,40,15,23,1,0,19,16,13,0
8,R. Sterling,4,12,30,23,2127,13,57,28,2,53,5,700,42,19,37,1,0,21,23,12,0
9,J. Grealish,3,12,26,22,1917,3,45,16,0,40,3,819,52,17,55,3,0,25,18,13,0
10,Gabriel Jesus,4,12,28,21,1878,8,64,25,1,45,8,627,38,26,26,1,0,27,18,11,0
11,I. Gundogan,3,12,27,20,1856,8,55,19,0,24,4,1157,38,13,10,1,0,24,23,12,0
12,K. Walker,2,12,20,20,1755,0,8,2,0,7,2,1353,12,7,12,1,0,20,15,10,0
13,R. Mahrez,3,12,28,15,1491,11,61,23,4,26,5,741,40,10,15,0,0,9,11,7,0
