Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,Bruno Fernandes,3,13,36,35,3118,10,89,29,0,26,6,1488,89,33,47,10,0,45,54,8,0
2,H. Maguire,2,13,30,28,2514,1,23,10,0,4,0,1350,4,21,19,7,1,53,34,6,0
3,C. Ronaldo,4,13,30,27,2458,18,110,43,3,20,3,720,26,16,18,8,0,8,8,7,0
4,S. McTominay,3,13,30,28,2392,1,27,7,0,36,1,1055,23,55,33,9,0,64,65,6,0
5,V. Lindelof,2,13,28,26,2355,0,3,2,0,3,2,1209,4,19,6,4,0,36,16,6,0
6,Fred,3,13,28,24,2035,4,15,9,0,21,4,1129,28,31,30,5,0,59,63,7,0
7,J. Sancho,4,13,29,20,1902,3,26,9,0,47,3,781,41,4,7,0,0,23,14,4,0
8,R. Varane,2,13,22,20,1829,1,9,1,0,2,1,1011,4,5,7,0,0,37,28,5,0
9,Diogo Dalot,2,13,24,19,1799,0,13,4,0,17,0,771,16,18,4,4,0,70,55,5,0
10,A. Wan-Bissaka,2,13,20,20,1794,0,5,1,0,36,0,759,14,15,13,2,0,70,49,3,0
11,Alex Telles,2,13,21,18,1660,0,10,3,0,12,4,751,26,23,9,1,0,53,48,5,0
12,L. Shaw,2,13,20,19,1602,0,6,1,0,7,3,777,39,32,16,8,0,22,21,3,0
13,N. Matic,3,13,23,16,1382,0,6,1,0,17,4,905,13,26,3,3,0,49,31,2,0
