Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,T. Pukki,4,15,37,37,3260,11,71,27,3,27,3,394,27,31,25,4,0,15,23,6,0
2,G. Hanley,2,15,33,33,2899,1,20,4,0,1,0,1089,6,22,22,2,0,81,44,6,0
3,M. Aarons,2,15,34,32,2882,0,13,2,0,34,2,847,20,27,52,8,0,72,64,4,0
4,K. McLean,3,15,31,29,2706,1,33,6,0,19,0,771,10,16,38,3,0,56,42,6,0
5,B. Gibson,2,15,28,28,2495,0,8,4,0,5,0,1111,3,12,9,3,1,43,23,6,0
6,P. Lees Melou,3,15,33,27,2270,1,33,9,0,19,0,788,25,35,23,5,0,61,58,5,0
7,M. Rashica,4,15,31,25,2236,1,44,17,0,16,2,325,36,23,47,0,0,34,31,4,0
8,B. Williams,2,15,26,23,2123,0,4,1,0,20,1,764,21,23,44,8,0,81,55,2,0
9,B. Gilmour,3,15,24,21,1858,0,18,3,0,15,1,949,25,28,22,2,0,38,41,2,0
10,M. Normann,3,15,23,20,1652,1,26,5,0,17,2,536,13,37,28,6,0,40,34,4,0
11,J. Sargent,4,15,26,18,1578,2,24,3,0,16,1,286,11,9,23,1,0,25,26,4,0
12,D. Giannoulis,2,15,18,14,1166,0,2,1,0,29,1,423,9,16,22,2,0,40,36,4,0
13,S. Byram,2,15,15,11,1024,0,7,2,0,3,0,340,4,12,4,3,0,37,24,2,0
