Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,H. Kane,4,17,37,36,3232,17,133,55,4,54,9,614,50,42,54,5,0,8,15,14,0
2,P. Hojbjerg,3,17,36,36,3198,2,31,11,0,42,2,2270,25,28,39,3,0,93,78,16,0
3,E. Dier,2,17,35,35,3072,0,13,5,0,1,0,2049,7,12,9,1,0,36,15,16,0
4,Son Heung-Min,4,17,35,35,3019,23,86,49,0,51,7,879,72,14,36,2,0,19,15,16,0
5,B. Davies,2,17,29,28,2539,1,18,7,0,7,1,1345,11,31,18,6,0,51,36,12,0
6,Emerson,2,17,31,26,2289,1,15,4,0,17,1,935,28,28,45,5,0,69,72,9,0
7,Reguilon,2,17,25,22,1922,2,21,9,0,19,3,606,29,22,24,4,0,55,40,9,0
8,C. Romero,2,17,22,21,1846,1,6,2,0,9,0,1141,6,28,15,8,0,72,62,5,0
9,Lucas Moura,4,17,34,19,1772,2,37,12,0,56,6,556,34,20,37,4,0,28,25,8,0
10,D. Sanchez,2,17,23,17,1626,2,13,3,0,4,0,989,5,16,11,4,0,52,41,10,0
11,R. Bentancur,3,17,17,16,1365,0,14,2,0,14,4,906,15,22,13,5,0,38,36,7,0
12,O. Skipp,3,17,18,14,1348,0,4,1,0,4,0,761,8,16,16,6,0,31,33,8,0
13,D. Kulusevski,3,17,18,14,1265,5,26,10,0,25,8,393,25,20,15,3,0,26,19,7,0
