Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,M. Sissoko,3,18,36,36,3221,2,25,8,0,52,1,896,36,36,11,5,0,57,53,4,0
2,E. Dennis,4,18,33,30,2589,10,60,26,0,68,6,393,33,59,40,7,1,50,51,2,0
3,C. Cathcart,2,18,31,27,2395,0,3,0,0,0,1,734,3,13,4,3,0,43,32,3,0
4,J. King,4,18,32,27,2249,5,50,17,1,30,3,364,35,42,21,5,0,23,19,3,0
5,Kiko Femenia,2,18,27,26,2149,0,3,1,0,7,5,646,25,12,13,2,0,59,35,2,0
6,J. Kucka,3,18,26,22,1923,1,46,11,0,17,1,466,10,46,49,3,1,66,59,1,0
7,I. Sarr,3,18,22,21,1864,5,39,17,0,34,2,321,21,17,47,2,0,16,12,2,0
8,Joao Pedro,4,18,28,15,1638,3,47,16,0,62,1,383,19,13,30,1,0,29,20,2,0
9,H. Kamara,2,18,19,18,1625,1,5,1,0,15,0,499,10,24,16,3,1,103,53,3,0
10,T. Cleverley,3,18,28,20,1623,0,12,7,0,3,2,456,20,28,19,2,0,38,37,2,0
11,I. Louza,3,18,20,17,1419,0,17,4,0,14,0,504,15,24,13,6,0,63,41,2,0
12,W. Troost-Ekong,2,18,17,15,1388,0,2,0,0,1,0,464,1,13,2,3,0,16,18,0,0
13,C. Kabasele,2,18,16,12,1190,0,7,0,0,1,0,368,2,5,3,0,0,19,11,1,0
