Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,D. Rice,3,19,36,35,3178,1,26,8,0,50,4,1973,24,28,10,8,0,105,80,8,0
2,T. Soucek,3,19,35,34,3062,5,45,12,0,10,1,1029,21,39,18,3,0,84,66,6,0
3,J. Bowen,3,19,36,34,2987,12,79,34,0,50,10,544,41,25,43,6,0,41,36,8,0
4,M. Antonio,4,19,36,34,2975,10,83,29,0,50,8,415,45,50,52,6,1,20,23,7,0
5,Pablo Fornals,3,19,36,32,2799,6,43,12,0,23,3,1027,48,24,28,4,0,55,54,7,0
6,C. Dawson,2,19,34,30,2754,2,25,6,0,4,2,1032,4,39,12,4,1,46,29,6,0
7,A. Cresswell,2,19,31,31,2728,2,18,4,0,8,3,1412,31,14,10,3,0,53,28,7,0
8,V. Coufal,2,19,28,25,2211,0,11,5,0,15,4,747,21,29,15,3,1,47,45,5,0
9,S. Benrahma,4,19,32,26,2184,8,63,22,0,37,6,618,32,9,15,0,0,26,28,6,0
10,K. Zouma,2,19,24,24,2080,1,6,3,0,1,0,873,2,11,6,1,0,40,11,5,0
11,M. Lanzini,3,19,30,19,1787,5,16,7,3,25,3,1105,23,11,18,2,0,34,28,4,0
12,B. Johnson,2,19,20,16,1398,1,5,1,0,7,0,398,9,10,4,1,0,38,33,3,0
13,I. Diop,2,19,13,10,962,0,2,2,0,0,1,406,1,5,5,0,0,15,10,2,0
