Id,Player,POS,Team,Apps,Starter,Mins,Goals,Shots,OnTarShots,PenGoals,SuccesfulDribbles,Assists,AccPasses,KeyPasses,Fouls,WasFouled,YellowCards,RedCards,RecBalls,Tackles,CleanSheets,Saves
1,C. Coady,2,20,38,38,3363,4,12,4,0,1,0,1514,3,20,1,5,0,42,31,11,0
2,Joao Moutinho,3,20,35,34,2975,2,20,7,0,16,1,1665,39,36,15,4,0,73,74,10,0
3,R. Saiss,2,20,31,31,2708,2,18,6,0,7,0,1426,7,30,15,6,0,85,40,11,0
4,M. Kilman,2,20,30,30,2688,1,13,4,0,17,0,1306,3,17,11,3,0,71,50,10,0
5,Ruben Neves,3,20,33,31,2662,4,42,16,0,26,2,1621,25,25,12,9,0,78,68,9,0
6,R. Jimenez,4,20,34,30,2637,6,57,16,1,36,4,538,38,43,48,5,2,27,29,10,0
7,Nelson Semedo,2,20,25,25,2137,0,19,4,0,39,1,706,18,23,24,1,0,60,58,8,0
8,L. Dendoncker,3,20,30,21,1946,2,23,10,0,5,2,706,11,13,6,4,0,26,42,5,0
9,R. Ait Nouri,2,20,23,20,1827,1,13,4,0,42,2,578,17,14,20,4,0,58,64,5,0
10,Hwang Hee-Chan,4,20,30,20,1819,5,27,12,0,33,1,507,16,29,42,2,0,26,27,5,0
11,Daniel Podence,4,20,26,15,1481,2,35,15,0,35,3,427,36,8,25,2,0,21,18,8,0
12,Fernando Marcal,2,20,18,17,1453,0,11,1,0,7,0,536,10,29,9,3,0,50,42,6,0
13,Trincao,4,20,28,16,1339,2,32,14,0,44,1,345,14,13,22,0,0,27,28,4,0
